latitude,longitude,light,sound average,sound peak,MQ9 gas average,people
51.5020103454,0.0076633005,13,16.41,289,513.91,0
51.502002716,0.0076766009,13,19.89,309,513.4,0
51.5019950866,0.0076849994,13,18.25,329,517.72,0
51.5019874572,0.0076965999,13,18.02,323,514.07,0
51.5019760131,0.0077083005,14,18.68,325,487.14,2
51.5019607543,0.0077183008,13,19.1,313,516.73,0
51.501953125,0.0077383003,13,16.29,319,513.04,0
51.5019378662,0.0077565999,13,18.92,318,514.34,0
51.5019187927,0.0077750005,13,18.25,286,512.78,0
51.5019111633,0.0077883005,12,17.06,316,511.44,0
51.5018959045,0.0078016004,13,17.96,302,516.73,0
51.5018806457,0.0078115997,13,17.16,321,511.15,0
51.5018730163,0.0078250002,13,16.54,277,511.45,0
51.5018653869,0.0078383007,13,17.04,324,512.86,0
51.5018653869,0.0078583002,13,19.83,319,510.52,1
51.5018653869,0.0078782997,13,16.54,289,516.21,0
51.5018730163,0.0078983001,13,17.33,302,514.84,0
51.5018730163,0.0079133005,13,19.01,328,513.56,0
51.5018806457,0.0079233002,14,18.65,313,517.43,0
51.5018806457,0.0079333,14,17.2,296,514.24,0
51.5018882751,0.0079433012,13,17.35,306,512.42,0
51.5018806457,0.0079500007,12,18.47,316,511.66,0
51.5018730163,0.0079533004,12,21.84,412,514.43,0
51.5018653869,0.0079682998,12,18.68,332,514.59,0
51.5018463134,0.0079800004,12,18.76,314,513.6,0
51.501838684,0.0079932999,12,20.63,297,513.61,0
51.5018310546,0.0080016002,12,18.96,323,515.21,0
51.5018234252,0.0080116004,12,18.22,334,513.51,0
51.5018157958,0.0080233001,12,18.76,324,512.47,0
51.5018081665,0.0080300006,12,19.74,294,513.17,0
51.501789093,0.0080416011,13,19.41,294,514.55,0
51.5017814636,0.0080599994,11,20.33,320,511.22,0
51.5017662048,0.0080866003,11,20.24,293,514.34,0
51.5017585754,0.0081033,12,18.74,317,515.02,0
51.501750946,0.0081183004,12,19.46,329,511.38,0
51.5017433166,0.0081333007,12,20.46,386,516.89,0
51.5017318725,0.0081433,12,18.37,328,515.79,0
51.5017166137,0.0081550006,12,18.44,319,512.41,0
51.5016937255,0.0081782999,12,20.79,329,513.75,0
51.5016860961,0.008188301,12,16.5,276,516.04,0
51.5016670227,0.0081966009,11,17.6,326,511.68,0
51.5016670227,0.0082049999,11,18.34,319,514.76,0
51.5016517639,0.00821,12,18.28,299,512.8,0
51.5016441345,0.0082166004,11,20.06,315,512.56,0
51.5016212463,0.0082266006,10,19.06,311,515.52,0
51.5016021728,0.0082333002,12,18.76,299,513.96,0
51.5015945434,0.0082300004,12,19.15,291,512.91,0
51.5015792846,0.0082333002,11,18.17,296,519.22,0
51.5015525817,0.008249999,11,11.44,315,514.27,0
51.5015373229,0.0082666006,11,19.18,281,512.93,0
51.5015373229,0.0082733001,11,18.89,337,512.93,0
51.5015296936,0.0082816009,12,20.86,307,514.07,0
51.5015220642,0.0082916011,12,19.52,307,513.28,0
51.501499176,0.0083000001,11,18.31,311,514.87,0
51.5014801025,0.0083100013,11,17.6,325,513.17,0
51.5014724731,0.0083283004,11,18.67,325,513.18,0
51.5014572143,0.0083500003,12,18.87,275,516.95,0
51.5014419555,0.0083666,11,19.24,325,515.29,0
51.5014076232,0.0083816003,11,17.35,300,403.62,1
51.5013771057,0.0083983001,11,19.42,319,506.86,0
51.5013275146,0.0084065999,11,20.79,337,515.4,0
51.5013084411,0.0084165992,11,22.12,309,514.09,0
51.5012702941,0.0084283008,10,18.13,297,513.74,0
51.5012435913,0.0084383001,11,19.71,284,513.82,0
51.5012130737,0.0084566011,10,17.29,310,515.91,0
51.5011978149,0.0084765996,11,20.95,322,515.56,0
51.5011634826,0.0084916009,11,18.74,294,514.06,0
51.5011405944,0.0085065994,11,19.23,326,513.74,0
51.5011138916,0.0085115995,11,19.22,330,515.17,0
51.5010910034,0.0085216007,11,21.01,307,514.49,0
51.5010643005,0.0085299997,11,18.75,317,513.75,0
51.5010566711,0.0085400009,11,19.79,313,511.94,0
51.5010490417,0.0085532999,11,20.49,321,514.72,0
51.5010414123,0.0085566005,10,17.74,274,513.4,0
51.5010414123,0.0085566005,10,20.4,308,513.89,0
51.5010185241,0.0085665998,10,20.97,323,514.56,0
51.5010108947,0.0085733003,11,17.8,298,514.15,0
51.5010108947,0.0085900001,10,21.5,437,514.22,1
51.5009918212,0.0086050004,10,18.74,361,515.65,1
51.5009765625,0.0086199998,10,17.15,331,513.13,0
51.5009613037,0.0086366004,10,20.22,302,516.12,0
51.5009536743,0.0086483001,10,16.26,322,515.61,0
51.5009346008,0.0086615991,11,17.06,328,512.62,0
51.5009269714,0.0086732997,10,19.74,302,512.73,0
51.500919342,0.0086883001,10,18.03,332,515.61,0
51.5009117126,0.008701601,10,16.78,335,514.29,0
51.5009040832,0.0087133007,10,16.73,318,512.72,0
51.5009040832,0.0087250003,11,21.08,295,513.66,0
51.5009117126,0.0087383003,11,18.23,318,514.83,0
51.5009040832,0.0087482995,11,18.3,323,513.09,0
51.5009117126,0.0087583007,11,17.76,288,513.29,0
51.500919342,0.0087750005,11,17.51,314,515.87,0
51.5009269714,0.0087933006,11,16.62,321,515.27,0
51.500919342,0.0088083,11,12.44,298,515.18,0
51.5009117126,0.0088216009,10,16.88,313,511.09,0
51.5009040832,0.0088416004,10,12.21,321,514.2,0
51.5008964538,0.0088600006,10,17.51,316,514.72,0
51.5008964538,0.0088766002,10,13.62,302,512.97,0
51.5008888244,0.0088883008,10,16.97,336,513.88,0
51.5008697509,0.0089065999,10,19.17,338,513.98,0
51.5008621215,0.0089233007,9,17,287,512.27,0
51.5008544921,0.0089416017,10,18.76,308,511.46,0
51.5008468627,0.00896,10,18.44,322,515.31,1
51.5008392333,0.0089749994,10,15.57,339,513.19,0
51.500831604,0.0089933004,10,20.52,279,513.13,0
51.500831604,0.0090083007,9,18.4,324,513.04,0
51.5008125305,0.0090215988,10,19.71,320,514.74,2
51.5008049011,0.0090333003,10,27.36,297,516.85,0
51.5008049011,0.009039999,9,20.37,326,514.35,0
51.5008049011,0.0090500001,9,25.39,356,514.03,0
51.5008049011,0.0090633001,9,18.52,293,510.43,0
51.5007972717,0.0090783004,9,25.58,326,515.92,0
51.5007896423,0.0090932998,10,19.96,319,517.35,0
51.5007820129,0.0091115999,9,19.17,333,514.41,0
51.5007667541,0.0091283016,9,18.03,278,514.13,0
51.50075531,0.0091466007,10,23.89,312,515.48,0
51.5007400512,0.0091649999,10,18.3,324,515.05,0
51.5007324218,0.00917,9,23.22,294,512.98,0
51.5007247924,0.0091800003,9,21.31,318,515.51,0
51.5007095336,0.0091949996,10,21.4,312,515.48,0
51.5006980895,0.0092083005,10,21.61,329,511.71,0
51.5006980895,0.0092200002,9,20.45,291,515.55,0
51.5006904602,0.0092300014,11,17.6,310,515.06,0
51.5006752014,0.0092483005,11,21.37,326,512.75,0
51.5006752014,0.0092566003,12,21.68,287,512.11,0
51.5006752014,0.0092650012,12,19.06,312,512.9,2
51.5006599426,0.0092849998,9,22.34,311,513.34,0
51.5006446838,0.0093066005,9,22.72,269,512.93,0
